ECO,OpeningCategory,OpeningType,Games,BlackWins,BlackWinRate,AvgWhiteElo,AvgBlackElo,EloDiff
D53o,D,Queen's Pawn Opening,1,0,0.0,2674.0,2418.0,256.0
B43e,B,King's Pawn Opening,41,18.5,0.45,2254.95,2363.24,-108.29
B18n,B,King's Pawn Opening,30,18.5,0.62,1990.83,2057.03,-66.2
C64e,C,King's Pawn Opening,17,8.0,0.47,2212.65,2231.0,-18.35
D53b,D,Queen's Pawn Opening,13,5.0,0.38,2263.31,2168.92,94.39
B14v,B,King's Pawn Opening,25,12.0,0.48,2349.88,2314.04,35.84
D18o,D,Queen's Pawn Opening,12,3.5,0.29,2230.58,2190.5,40.08
D77c,D,Queen's Pawn Opening,29,13.0,0.45,2228.17,2251.48,-23.31
B17o,B,King's Pawn Opening,16,4.0,0.25,2228.56,2172.62,55.94
E16p,E,Queen's Pawn Opening,9,4.0,0.44,2213.0,2196.56,16.44
C67w,C,King's Pawn Opening,52,18.5,0.36,2505.19,2436.04,69.15
E19c,E,Queen's Pawn Opening,10,5.0,0.5,2193.8,2411.5,-217.7
D18l,D,Queen's Pawn Opening,11,6.5,0.59,2119.27,2136.18,-16.91
C41a,C,King's Pawn Opening,34,16.0,0.47,1802.32,1885.29,-82.97
D43r,D,Queen's Pawn Opening,6,3,0.5,2461.5,2495.83,-34.33
B18p,B,King's Pawn Opening,48,26.0,0.54,2136.25,2234.98,-98.73
A75,A,Queen's Pawn Opening,20,6.5,0.33,2243.5,2250.3,-6.8
E38c,E,Queen's Pawn Opening,26,16.5,0.63,1906.35,2149.85,-243.5
A69d,A,Queen's Pawn Opening,7,2,0.29,2223.0,2252.14,-29.14
C50k,C,King's Pawn Opening,56,32.0,0.57,2054.89,1960.12,94.77
C02k,C,King's Pawn Opening,63,40.0,0.63,2039.03,2153.25,-114.22
A52j,A,Queen's Pawn Opening,6,2.0,0.33,1832.17,2110.33,-278.16
B06u,B,King's Pawn Opening,66,41.0,0.62,2048.86,2243.86,-195.0
C63p,C,King's Pawn Opening,25,9.5,0.38,2282.28,2333.16,-50.88
B98a,B,King's Pawn Opening,23,11.5,0.5,2206.09,2153.74,52.35
A44w,A,Queen's Pawn Opening,13,5.5,0.42,2323.31,2318.92,4.39
C00c,C,King's Pawn Opening,72,38.5,0.53,2154.19,2149.56,4.63
A36u,A,Other,26,17.5,0.67,1980.31,2146.08,-165.77
A30r,A,Other,4,0.5,0.12,2283.0,2066.5,216.5
C68q,C,King's Pawn Opening,11,9,0.82,2171.82,2199.82,-28.0
B51p,B,King's Pawn Opening,87,35.5,0.41,2358.54,2303.46,55.08
D25g,D,Queen's Pawn Opening,9,3.5,0.39,2260.33,2210.67,49.66
A68f,A,Queen's Pawn Opening,6,2,0.33,2118.83,2245.83,-127.0
A09h,A,Other,62,36.0,0.58,2307.44,2314.79,-7.35
A43e,A,Queen's Pawn Opening,56,27.5,0.49,2225.23,2186.64,38.59
B04b,B,King's Pawn Opening,31,11.5,0.37,2066.52,2104.87,-38.35
A55d,A,Queen's Pawn Opening,9,4.0,0.44,2122.89,2208.44,-85.55
D36r,D,Queen's Pawn Opening,27,11.0,0.41,1980.85,2183.41,-202.56
C84a,C,King's Pawn Opening,29,16.0,0.55,2136.14,2132.79,3.35
E61w,E,Queen's Pawn Opening,10,6.0,0.6,2118.9,1851.5,267.4
D35q,D,Queen's Pawn Opening,65,34.5,0.53,1995.37,2220.63,-225.26
A63,A,Queen's Pawn Opening,75,47.5,0.63,2228.75,2348.17,-119.42
D15r,D,Queen's Pawn Opening,26,8.5,0.33,2171.15,2180.42,-9.27
D91f,D,Queen's Pawn Opening,10,5,0.5,2254.4,2224.5,29.9
E83b,E,Queen's Pawn Opening,7,4,0.57,2154.14,2205.71,-51.57
E62i,E,Queen's Pawn Opening,28,15.0,0.54,2254.61,2260.57,-5.96
D06a,D,Queen's Pawn Opening,7,2.0,0.29,2022.57,1670.43,352.14
C41c,C,King's Pawn Opening,63,23.0,0.37,2191.05,2152.6,38.45
D36o,D,Queen's Pawn Opening,59,22.5,0.38,2200.9,2082.22,118.68
C46d,C,King's Pawn Opening,18,11.0,0.61,2069.72,2135.67,-65.95
C27f,C,King's Pawn Opening,25,10.5,0.42,2364.48,2310.72,53.76
C92i,C,King's Pawn Opening,20,10.0,0.5,2253.7,2185.0,68.7
A59d,A,Queen's Pawn Opening,24,12.0,0.5,2166.21,2172.46,-6.25
A44y,A,Queen's Pawn Opening,12,3.0,0.25,2176.5,2055.0,121.5
C77s,C,King's Pawn Opening,47,29.5,0.63,2113.7,2173.23,-59.53
C02u,C,King's Pawn Opening,128,44.5,0.35,2265.95,2195.13,70.82
B21z,B,King's Pawn Opening,54,34.0,0.63,1927.89,1978.56,-50.67
C27b,C,King's Pawn Opening,8,2.5,0.31,2224.12,2115.38,108.74
C68b,C,King's Pawn Opening,1,1,1.0,1555.0,2212.0,-657.0
A39h,A,Other,12,3.5,0.29,2294.58,2019.83,274.75
B54i,B,King's Pawn Opening,33,15.0,0.45,2148.64,2101.7,46.94
D23p,D,Queen's Pawn Opening,30,13.5,0.45,2205.53,2236.27,-30.74
E61h,E,Queen's Pawn Opening,26,16.0,0.62,2259.23,2270.08,-10.85
D01a,D,Queen's Pawn Opening,3,0.5,0.17,2239.67,2248.0,-8.33
B11l,B,King's Pawn Opening,31,12.5,0.4,2128.87,2141.03,-12.16
A70y,A,Queen's Pawn Opening,43,21.0,0.49,2299.12,2253.77,45.35
D21a,D,Queen's Pawn Opening,4,2,0.5,1657.5,1608.0,49.5
C26r,C,King's Pawn Opening,107,49.0,0.46,2232.7,2244.64,-11.94
E39g,E,Queen's Pawn Opening,12,9.0,0.75,2169.42,2330.58,-161.16
D13m,D,Queen's Pawn Opening,47,24.5,0.52,2078.02,2179.09,-101.07
B96l,B,King's Pawn Opening,16,8.0,0.5,2200.81,2170.5,30.31
B25r,B,King's Pawn Opening,23,12.5,0.54,2081.35,2137.91,-56.56
B98i,B,King's Pawn Opening,5,2,0.4,1853.6,1917.4,-63.8
E61s,E,Queen's Pawn Opening,51,24.5,0.48,2114.47,2208.71,-94.24
D58t,D,Queen's Pawn Opening,35,10.5,0.3,2043.49,1826.97,216.52
A68b,A,Queen's Pawn Opening,17,10.5,0.62,2062.88,2111.24,-48.36
B45e,B,King's Pawn Opening,17,11.5,0.68,1776.06,2015.94,-239.88
A41o,A,Queen's Pawn Opening,93,61.0,0.66,1967.77,2220.77,-253.0
C60t,C,King's Pawn Opening,26,11.5,0.44,2115.54,2139.62,-24.08
D14k,D,Queen's Pawn Opening,15,7.0,0.47,2331.87,2376.8,-44.93
C08h,C,King's Pawn Opening,34,19.5,0.57,2206.97,2302.41,-95.44
D58r,D,Queen's Pawn Opening,19,9.5,0.5,2235.32,2179.11,56.21
D32q,D,Queen's Pawn Opening,27,11.0,0.41,2207.81,2158.07,49.74
B44h,B,King's Pawn Opening,9,5.0,0.56,2017.0,2181.56,-164.56
D27m,D,Queen's Pawn Opening,34,12.5,0.37,2355.06,2351.88,3.18
E16m,E,Queen's Pawn Opening,44,22.0,0.5,2201.48,2204.64,-3.16
B32v,B,King's Pawn Opening,64,29.0,0.45,2248.08,2229.33,18.75
D04h,D,Queen's Pawn Opening,46,24.0,0.52,2252.46,2292.54,-40.08
D46i,D,Queen's Pawn Opening,47,25.0,0.53,2317.4,2251.04,66.36
D78m,D,Queen's Pawn Opening,9,3.5,0.39,2156.78,2045.0,111.78
C78o,C,King's Pawn Opening,9,6.5,0.72,2133.67,2277.22,-143.55
B25s,B,King's Pawn Opening,27,14.5,0.54,2242.11,2317.0,-74.89
B93m,B,King's Pawn Opening,19,5.5,0.29,2238.16,2185.16,53.0
C18c,C,King's Pawn Opening,28,10.5,0.38,2152.04,2175.86,-23.82
B26b,B,King's Pawn Opening,11,5.0,0.45,1493.45,1563.18,-69.73
D53u,D,Queen's Pawn Opening,10,6.5,0.65,1972.1,2060.4,-88.3
D48k,D,Queen's Pawn Opening,1,0.5,0.5,1481.0,0.0,1481.0
B60d,B,King's Pawn Opening,34,15.0,0.44,2222.35,2298.41,-76.06
B18h,B,King's Pawn Opening,55,23.5,0.43,2150.09,2152.24,-2.15
A57g,A,Queen's Pawn Opening,43,18.5,0.43,2172.65,2108.86,63.79
B53v,B,King's Pawn Opening,57,27.5,0.48,2200.32,2185.16,15.16
D36x,D,Queen's Pawn Opening,29,2.5,0.09,2409.83,2212.1,197.73
A60c,A,Queen's Pawn Opening,24,9.0,0.38,2357.71,2302.5,55.21
B39g,B,King's Pawn Opening,32,10.0,0.31,2322.09,2163.41,158.68
B56g,B,King's Pawn Opening,37,26.0,0.7,2279.08,2407.43,-128.35
C10r,C,King's Pawn Opening,26,15.0,0.58,2151.54,2187.62,-36.08
D13t,D,Queen's Pawn Opening,12,4.5,0.38,2204.33,2183.75,20.58
B07v,B,King's Pawn Opening,103,50.5,0.49,2189.61,2130.78,58.83
D53c,D,Queen's Pawn Opening,24,9.5,0.4,2206.62,2022.21,184.41
B01r,B,King's Pawn Opening,75,36.5,0.49,2153.27,2083.61,69.66
C47k,C,King's Pawn Opening,69,42.5,0.62,2316.67,2399.14,-82.47
B92b,B,King's Pawn Opening,7,4,0.57,2159.43,2262.43,-103.0
C01g,C,King's Pawn Opening,24,14.0,0.58,1842.62,2155.96,-313.34
A82,A,Queen's Pawn Opening,45,26.5,0.59,2155.51,2207.42,-51.91
C41q,C,King's Pawn Opening,5,2.5,0.5,2156.0,2148.0,8.0
B10i,B,King's Pawn Opening,23,12.0,0.52,2213.04,2173.65,39.39
B98o,B,King's Pawn Opening,9,2.0,0.22,1969.67,1808.0,161.67
E11b,E,Queen's Pawn Opening,83,43.0,0.52,2350.18,2310.1,40.08
B96i,B,King's Pawn Opening,63,32.0,0.51,2236.21,2341.84,-105.63
A48b,A,Queen's Pawn Opening,23,16.5,0.72,2122.09,2238.26,-116.17
C11p,C,King's Pawn Opening,19,10.5,0.55,2140.53,2187.26,-46.73
D19h,D,Queen's Pawn Opening,12,7.0,0.58,1769.67,2134.5,-364.83
C97f,C,King's Pawn Opening,8,2.5,0.31,2193.25,2040.12,153.13
B29n,B,King's Pawn Opening,47,24.0,0.51,2280.77,2277.09,3.68
D45r,D,Queen's Pawn Opening,60,21.0,0.35,2323.47,2270.93,52.54
E00t,E,Queen's Pawn Opening,11,8.0,0.73,2065.09,2229.36,-164.27
B09l,B,King's Pawn Opening,18,9.5,0.53,2205.5,2201.39,4.11
C15t,C,King's Pawn Opening,42,16.0,0.38,2171.62,2198.21,-26.59
A38n,A,Other,17,10.5,0.62,1964.82,2169.71,-204.89
C65q,C,King's Pawn Opening,10,1.5,0.15,2114.6,1771.5,343.1
B80h,B,King's Pawn Opening,17,9.0,0.53,1975.24,2041.35,-66.11
B99i,B,King's Pawn Opening,27,14.5,0.54,2163.04,2066.3,96.74
B78f,B,King's Pawn Opening,21,5.0,0.24,2220.43,2064.24,156.19
D53h,D,Queen's Pawn Opening,45,20.5,0.46,2399.58,2340.89,58.69
B01s,B,King's Pawn Opening,190,80.5,0.42,2101.73,2062.03,39.7
B23u,B,King's Pawn Opening,120,68.0,0.57,1936.28,2077.97,-141.69
B15f,B,King's Pawn Opening,34,19.0,0.56,2212.68,2305.35,-92.67
B17l,B,King's Pawn Opening,6,1,0.17,2128.83,2157.17,-28.34
B91b,B,King's Pawn Opening,8,3,0.38,1883.38,2005.25,-121.87
C99i,C,King's Pawn Opening,7,2.0,0.29,2159.29,1906.0,253.29
C91f,C,King's Pawn Opening,6,1.5,0.25,2040.17,1873.5,166.67
E89b,E,Queen's Pawn Opening,2,1,0.5,2306.0,2358.0,-52.0
D72,D,Queen's Pawn Opening,61,17.5,0.29,2204.15,2135.74,68.41
B38g,B,King's Pawn Opening,73,31.0,0.42,2219.88,2192.21,27.67
C28f,C,King's Pawn Opening,75,41.0,0.55,2286.99,2321.37,-34.38
B05o,B,King's Pawn Opening,14,7,0.5,2268.79,2299.57,-30.78
E63i,E,Queen's Pawn Opening,11,6.5,0.59,2149.82,2177.45,-27.63
B99p,B,King's Pawn Opening,10,2,0.2,2155.1,2014.9,140.2
D58b,D,Queen's Pawn Opening,13,2.5,0.19,2297.69,2234.54,63.15
C63u,C,King's Pawn Opening,15,6.0,0.4,2258.8,2158.6,100.2
A83j,A,Queen's Pawn Opening,4,3.5,0.88,1895.5,2137.75,-242.25
C42w,C,King's Pawn Opening,10,3.5,0.35,2335.3,2285.9,49.4
C55w,C,King's Pawn Opening,43,11.0,0.26,2075.77,1894.42,181.35
B44j,B,King's Pawn Opening,77,43.0,0.56,2126.38,2211.51,-85.13
B01h,B,King's Pawn Opening,55,29.5,0.54,1871.2,1814.89,56.31
C89j,C,King's Pawn Opening,16,8.0,0.5,2280.06,2435.06,-155.0
D31v,D,Queen's Pawn Opening,45,27.0,0.6,2226.51,2223.84,2.67
D12e,D,Queen's Pawn Opening,18,8.0,0.44,2405.0,2424.5,-19.5
C00h,C,King's Pawn Opening,85,26.5,0.31,2230.0,2150.82,79.18
A60f,A,Queen's Pawn Opening,41,25.5,0.62,2176.07,2273.71,-97.64
E94o,E,Queen's Pawn Opening,12,6.5,0.54,2218.0,2279.33,-61.33
B47n,B,King's Pawn Opening,33,17.0,0.52,2258.27,2317.61,-59.34
C44h,C,King's Pawn Opening,37,21.5,0.58,2338.41,2306.22,32.19
C01u,C,King's Pawn Opening,32,17.0,0.53,1954.5,2117.5,-163.0
B50r,B,King's Pawn Opening,105,52.0,0.5,2217.13,2253.46,-36.33
B01z,B,King's Pawn Opening,97,36.0,0.37,2053.46,2068.28,-14.82
C68f,C,King's Pawn Opening,40,21.5,0.54,2124.22,2213.25,-89.03
B76f,B,King's Pawn Opening,19,13.5,0.71,2105.0,2229.74,-124.74
E97f,E,Queen's Pawn Opening,21,7.5,0.36,2317.48,2166.95,150.53
A42s,A,Queen's Pawn Opening,20,12.5,0.62,2170.6,2244.7,-74.1
A44m,A,Queen's Pawn Opening,15,4.0,0.27,2244.87,2227.33,17.54
D45d,D,Queen's Pawn Opening,14,6.5,0.46,2340.5,2290.57,49.93
C12j,C,King's Pawn Opening,9,4.0,0.44,2263.44,2260.89,2.55
B61b,B,King's Pawn Opening,16,4.5,0.28,2283.0,2188.69,94.31
B18q,B,King's Pawn Opening,61,31.5,0.52,2208.75,2229.9,-21.15
D45o,D,Queen's Pawn Opening,13,4.5,0.35,2253.69,2262.85,-9.16
C17e,C,King's Pawn Opening,37,15.5,0.42,2195.76,2152.92,42.84
E32e,E,Queen's Pawn Opening,32,19.0,0.59,1854.53,2073.22,-218.69
B91f,B,King's Pawn Opening,19,9.5,0.5,2483.68,2406.37,77.31
B49l,B,King's Pawn Opening,8,4.0,0.5,2350.38,2286.0,64.38
E61r,E,Queen's Pawn Opening,63,33.5,0.53,1934.13,2051.17,-117.04
B23d,B,King's Pawn Opening,86,38.5,0.45,2014.01,1975.34,38.67
A55e,A,Queen's Pawn Opening,42,17.0,0.4,2164.9,2134.21,30.69
D32v,D,Queen's Pawn Opening,12,4.5,0.38,2278.0,2279.42,-1.42
B35j,B,King's Pawn Opening,14,6.0,0.43,2011.14,1987.79,23.35
D85i,D,Queen's Pawn Opening,24,12.5,0.52,2014.71,2013.21,1.5
E08f,E,Queen's Pawn Opening,19,6.0,0.32,2260.53,2193.84,66.69
C25i,C,King's Pawn Opening,36,19.0,0.53,2177.56,2316.11,-138.55
C89q,C,King's Pawn Opening,5,1.5,0.3,1990.6,1949.2,41.4
B18l,B,King's Pawn Opening,30,17.5,0.58,2088.03,2210.7,-122.67
C12a,C,King's Pawn Opening,22,9.0,0.41,2215.41,2316.95,-101.54
C90d,C,King's Pawn Opening,21,8.5,0.4,2252.43,2274.05,-21.62
C12l,C,King's Pawn Opening,15,6.0,0.4,2111.53,2168.6,-57.07
D96,D,Queen's Pawn Opening,86,40.5,0.47,2207.05,2208.83,-1.78
C37,C,King's Pawn Opening,20,10.0,0.5,2110.65,1961.45,149.2
D11k,D,Queen's Pawn Opening,173,79.5,0.46,2218.13,2203.65,14.48
B51m,B,King's Pawn Opening,49,14.0,0.29,2109.71,1964.55,145.16
D20l,D,Queen's Pawn Opening,74,37.0,0.5,2266.0,2230.73,35.27
A44h,A,Queen's Pawn Opening,10,4.5,0.45,2050.2,2116.5,-66.3
C41t,C,King's Pawn Opening,148,58.0,0.39,2293.32,2290.2,3.12
C63r,C,King's Pawn Opening,6,2.5,0.42,2194.33,2197.67,-3.34
D38e,D,Queen's Pawn Opening,74,29.0,0.39,2377.16,2319.26,57.9
D03u,D,Queen's Pawn Opening,10,3.0,0.3,2094.5,2029.4,65.1
B95a,B,King's Pawn Opening,28,15.5,0.55,1911.21,1898.79,12.42
D40i,D,Queen's Pawn Opening,14,4.5,0.32,2275.14,1813.0,462.14
C43t,C,King's Pawn Opening,74,33.5,0.45,2387.84,2357.47,30.37
B53d,B,King's Pawn Opening,20,11.5,0.57,2211.3,2210.35,0.95
D37d,D,Queen's Pawn Opening,59,23.0,0.39,2311.37,2193.41,117.96
B10h,B,King's Pawn Opening,44,25.5,0.58,2236.59,2357.48,-120.89
B38w,B,King's Pawn Opening,8,3,0.38,2060.38,2142.62,-82.24
E79f,E,Queen's Pawn Opening,9,4.5,0.5,2070.44,2000.44,70.0
B28h,B,King's Pawn Opening,80,27.0,0.34,2140.29,2143.3,-3.01
A35i,A,Other,84,40.0,0.48,2422.95,2375.08,47.87
B39h,B,King's Pawn Opening,19,11.0,0.58,2152.11,2102.26,49.85
C84j,C,King's Pawn Opening,22,10.0,0.45,2313.77,2296.59,17.18
B32e,B,King's Pawn Opening,66,43.5,0.66,2115.95,2239.61,-123.66
B30u,B,King's Pawn Opening,81,37.5,0.46,2202.35,2271.47,-69.12
C64j,C,King's Pawn Opening,2,0,0.0,2330.0,2185.0,145.0
E04t,E,Queen's Pawn Opening,118,69.0,0.58,2231.0,2253.73,-22.73
E95e,E,Queen's Pawn Opening,18,9.5,0.53,2373.44,2395.78,-22.34
C16e,C,King's Pawn Opening,32,18.5,0.58,2200.5,2248.34,-47.84
D76a,D,Queen's Pawn Opening,9,4.5,0.5,2106.78,2117.11,-10.33
E90g,E,Queen's Pawn Opening,18,11.0,0.61,1796.5,1635.61,160.89
E18x,E,Queen's Pawn Opening,2,0.5,0.25,2429.0,2183.5,245.5
B76e,B,King's Pawn Opening,74,30.5,0.41,2105.45,2063.64,41.81
D27r,D,Queen's Pawn Opening,68,35.5,0.52,2145.5,2238.47,-92.97
D26m,D,Queen's Pawn Opening,5,2.5,0.5,2149.2,2131.4,17.8
C17m,C,King's Pawn Opening,17,7.0,0.41,2317.12,2321.65,-4.53
C78q,C,King's Pawn Opening,43,20.0,0.47,2315.47,2351.16,-35.69
D18m,D,Queen's Pawn Opening,3,0.5,0.17,2412.67,2263.33,149.34
E63k,E,Queen's Pawn Opening,38,14.5,0.38,2237.13,2216.11,21.02
D37r,D,Queen's Pawn Opening,12,4.5,0.38,2397.5,2210.25,187.25
D00r,D,Queen's Pawn Opening,66,39.5,0.6,2145.03,2239.77,-94.74
B09d,B,King's Pawn Opening,33,14.0,0.42,2057.76,2088.97,-31.21
B77e,B,King's Pawn Opening,67,28.5,0.43,2134.67,2062.63,72.04
C49m,C,King's Pawn Opening,25,9.0,0.36,2192.08,2128.68,63.4
D12m,D,Queen's Pawn Opening,42,21.5,0.51,2239.12,2250.74,-11.62
C67t,C,King's Pawn Opening,6,3,0.5,2220.5,2404.67,-184.17
B50c,B,King's Pawn Opening,49,22.5,0.46,2230.41,2169.02,61.39
B55,B,King's Pawn Opening,42,20.5,0.49,2129.93,2112.07,17.86
A52f,A,Queen's Pawn Opening,70,38.5,0.55,2138.51,2126.2,12.31
B10q,B,King's Pawn Opening,197,105.0,0.53,2169.55,2167.92,1.63
D33p,D,Queen's Pawn Opening,28,8.0,0.29,2201.96,1946.86,255.1
D85f,D,Queen's Pawn Opening,20,6.0,0.3,2414.9,2335.9,79.0
B07u,B,King's Pawn Opening,240,95.0,0.4,2136.29,2127.35,8.94
E92a,E,Queen's Pawn Opening,9,3.0,0.33,2113.78,2227.89,-114.11
D40l,D,Queen's Pawn Opening,17,6.5,0.38,2393.82,2208.12,185.7
D43f,D,Queen's Pawn Opening,15,4.0,0.27,1860.73,2017.13,-156.4
A83h,A,Queen's Pawn Opening,16,8.5,0.53,2059.0,2050.94,8.06
B32u,B,King's Pawn Opening,9,3.5,0.39,2255.78,2205.0,50.78
B67l,B,King's Pawn Opening,10,6.5,0.65,2223.5,2234.7,-11.2
B63h,B,King's Pawn Opening,12,8.5,0.71,2124.42,2033.67,90.75
E70i,E,Queen's Pawn Opening,58,23.5,0.41,2210.91,2116.07,94.84
D68,D,Queen's Pawn Opening,4,0,0.0,2480.0,2243.5,236.5
B61e,B,King's Pawn Opening,21,11.5,0.55,2242.19,2303.05,-60.86
C29g,C,King's Pawn Opening,2,0.5,0.25,2240.5,1991.5,249.0
B70a,B,King's Pawn Opening,76,29.0,0.38,2087.57,2111.75,-24.18
A13p,A,Other,16,6.0,0.38,2112.56,2075.06,37.5
E84f,E,Queen's Pawn Opening,5,3,0.6,2246.8,2168.0,78.8
B00h,B,King's Pawn Opening,88,40.0,0.45,2201.59,2229.72,-28.13
B22r,B,King's Pawn Opening,114,58.5,0.51,2166.42,2226.96,-60.54
E04f,E,Queen's Pawn Opening,10,3.5,0.35,2216.2,2139.5,76.7
A57c,A,Queen's Pawn Opening,38,19.0,0.5,2215.92,2202.55,13.37
E98f,E,Queen's Pawn Opening,2,0.5,0.25,2153.0,1798.0,355.0
A57s,A,Queen's Pawn Opening,41,24.0,0.59,2212.9,2254.71,-41.81
B09p,B,King's Pawn Opening,25,12.5,0.5,2200.4,2218.6,-18.2
C05w,C,King's Pawn Opening,2,1.5,0.75,2330.0,2517.0,-187.0
A41v,A,Queen's Pawn Opening,42,24.0,0.57,2230.21,2326.83,-96.62
B33v,B,King's Pawn Opening,52,26.0,0.5,2179.75,2291.08,-111.33
C15s,C,King's Pawn Opening,40,18.0,0.45,2265.43,2252.45,12.98
B40m,B,King's Pawn Opening,84,51.5,0.61,2239.1,2346.24,-107.14
D06b,D,Queen's Pawn Opening,75,35.0,0.47,2213.81,2217.59,-3.78
C50g,C,King's Pawn Opening,28,12.0,0.43,2162.82,2227.39,-64.57
B53h,B,King's Pawn Opening,65,37.0,0.57,2162.86,2200.34,-37.48
E92t,E,Queen's Pawn Opening,4,1.5,0.38,2290.25,2303.25,-13.0
E73w,E,Queen's Pawn Opening,10,1.5,0.15,2049.6,1942.3,107.3
C29q,C,King's Pawn Opening,9,3.5,0.39,2334.33,2213.44,120.89
C30k,C,King's Pawn Opening,9,5,0.56,2223.11,1938.33,284.78
D17a,D,Queen's Pawn Opening,21,14.0,0.67,2068.86,2071.14,-2.28
A56s,A,Queen's Pawn Opening,21,7.5,0.36,2295.67,2234.29,61.38
C63q,C,King's Pawn Opening,15,7.0,0.47,2263.13,2312.07,-48.94
B81b,B,King's Pawn Opening,37,20.0,0.54,2343.22,2346.27,-3.05
C46a,C,King's Pawn Opening,18,8.0,0.44,2346.28,2290.39,55.89
D07i,D,Queen's Pawn Opening,35,17,0.49,2200.66,2147.89,52.77
D34f,D,Queen's Pawn Opening,15,9.0,0.6,2228.67,2246.6,-17.93
D53l,D,Queen's Pawn Opening,11,4.0,0.36,2008.36,2039.45,-31.09
B30i,B,King's Pawn Opening,71,27.5,0.39,2205.66,2157.72,47.94
A58n,A,Queen's Pawn Opening,7,4.5,0.64,1889.0,2162.0,-273.0
A39e,A,Other,31,11.0,0.35,2140.23,1995.87,144.36
C67g,C,King's Pawn Opening,4,2.0,0.5,2296.25,2272.0,24.25
C18l,C,King's Pawn Opening,38,19.0,0.5,2237.53,2187.03,50.5
E14x,E,Queen's Pawn Opening,22,6.5,0.3,2297.95,2301.64,-3.69
E67c,E,Queen's Pawn Opening,37,9.5,0.26,2135.32,2016.32,119.0
B76p,B,King's Pawn Opening,99,44.5,0.45,2232.73,2138.81,93.92
D43l,D,Queen's Pawn Opening,49,24.0,0.49,2213.33,2211.1,2.23
E90w,E,Queen's Pawn Opening,37,23.0,0.62,2275.03,2383.3,-108.27
D85x,D,Queen's Pawn Opening,83,42.5,0.51,2275.7,2260.08,15.62
B90b,B,King's Pawn Opening,51,27.0,0.53,2215.94,2380.55,-164.61
B34u,B,King's Pawn Opening,32,22.5,0.7,1872.25,1949.16,-76.91
B02r,B,King's Pawn Opening,30,13,0.43,2083.8,2251.37,-167.57
D77h,D,Queen's Pawn Opening,78,37.0,0.47,2291.65,2288.64,3.01
C55n,C,King's Pawn Opening,40,16.5,0.41,2056.12,2155.85,-99.73
D77d,D,Queen's Pawn Opening,16,8.5,0.53,2244.5,2274.38,-29.88
E14p,E,Queen's Pawn Opening,20,11.0,0.55,2282.2,2352.9,-70.7
A41b,A,Queen's Pawn Opening,28,14.5,0.52,2191.57,2270.11,-78.54
C44z,C,King's Pawn Opening,22,11.5,0.52,1880.23,2057.73,-177.5
C69j,C,King's Pawn Opening,29,13.5,0.47,2222.93,2232.0,-9.07
A36t,A,Other,48,30.0,0.62,1986.08,2093.98,-107.9
C00u,C,King's Pawn Opening,60,28.0,0.47,2266.85,2176.97,89.88
B02k,B,King's Pawn Opening,75,35.0,0.47,2171.11,2256.95,-85.84
A41c,A,Queen's Pawn Opening,48,23.5,0.49,2231.0,2248.0,-17.0
A37v,A,Other,80,37.5,0.47,2193.39,2209.36,-15.97
D02f,D,Queen's Pawn Opening,103,45.0,0.44,2161.68,2121.2,40.48
C25p,C,King's Pawn Opening,19,13.5,0.71,2208.53,2267.42,-58.89
E64d,E,Queen's Pawn Opening,24,9.0,0.38,2247.83,2100.5,147.33
C73,C,King's Pawn Opening,47,21.5,0.46,2315.21,2296.57,18.64
B53a,B,King's Pawn Opening,6,2.5,0.42,2214.67,2265.67,-51.0
C05o,C,King's Pawn Opening,20,7.5,0.38,2175.65,2260.05,-84.4
C08a,C,King's Pawn Opening,12,5.5,0.46,1801.67,1870.75,-69.08
C17s,C,King's Pawn Opening,25,11.5,0.46,2260.48,2263.56,-3.08
C44m,C,King's Pawn Opening,43,23.0,0.53,2167.91,2210.09,-42.18
B02t,B,King's Pawn Opening,32,18.5,0.58,2162.41,2178.44,-16.03
B97i,B,King's Pawn Opening,36,15.0,0.42,2239.56,2322.14,-82.58
A00h,A,Other,37,13.5,0.36,2321.59,2175.95,145.64
E61o,E,Queen's Pawn Opening,34,14.0,0.41,2213.71,2150.41,63.3
A42p,A,Queen's Pawn Opening,102,57.0,0.56,2305.41,2346.04,-40.63
E91w,E,Queen's Pawn Opening,33,17.0,0.52,2226.45,2274.42,-47.97
B53g,B,King's Pawn Opening,23,8.0,0.35,2295.74,2234.7,61.04
D05e,D,Queen's Pawn Opening,75,40.0,0.53,2171.31,2226.29,-54.98
A57b,A,Queen's Pawn Opening,17,9,0.53,2099.35,2152.06,-52.71
D31t,D,Queen's Pawn Opening,16,8.5,0.53,2132.44,2251.81,-119.37
E80c,E,Queen's Pawn Opening,6,1.5,0.25,2249.0,1853.33,395.67
C95f,C,King's Pawn Opening,51,20.0,0.39,2263.12,2278.9,-15.78
D21f,D,Queen's Pawn Opening,7,2,0.29,2334.71,2240.57,94.14
B50b,B,King's Pawn Opening,27,11.5,0.43,2257.78,2124.37,133.41
B10l,B,King's Pawn Opening,64,31.0,0.48,2150.58,2133.08,17.5
C08i,C,King's Pawn Opening,33,13.5,0.41,2361.03,2343.0,18.03
D47t,D,Queen's Pawn Opening,23,11.0,0.48,2251.22,2319.39,-68.17
B17f,B,King's Pawn Opening,19,7.0,0.37,1867.26,2051.16,-183.9
C03o,C,King's Pawn Opening,22,12.0,0.55,2214.41,2037.95,176.46
